[-59 7]
[-58 6]
[-57 6]
[-56 6]
[-55 6]
[-54 6]
[-53 6]
[-52 6]
[-51 6]
[-50 6]
[-49 6]
[-48 6]
[-47 7]
[-46 7]
[-45 7]
[-44 7]
[-43 7]
[-42 7]
[-41 8]
[-40 8]
[-39 8]
[-38 8]
[-37 7]
[-36 7]
[-35 6]
[-34 6]
[-33 5]
[-32 5]
[-31 5]
[-30 5]
[-29 5]
[-28 5]
[-27 6]
[-26 6]
[-25 7]
[-24 7]
[-23 7]
[-22 7]
[-21 7]
[-20 7]
[-19 7]
[-18 7]
[-17 6]
[-16 6]
[-15 6]
[-14 7]
[-13 7]
[-12 7]
[-11 7]
[-10 7]
[-9 7]
[-8 8]
[-7 8]
[-6 8]
[-5 8]
[-4 8]
[-3 8]
[-2 8]
[-1 8]
[0 8]
[1 8]
[2 8]
[3 8]
[4 8]
[5 7]
[6 7]
[7 7]
[8 7]
[9 6]
[10 6]
[11 5]
[12 5]
[13 5]
[14 5]
[15 5]
[16 5]
[17 5]
[18 5]
[19 6]
[20 6]
[21 6]
[22 6]
[23 7]
[24 7]
[25 7]
[26 7]
[27 7]
[28 7]
[29 7]
[30 8]
[31 8]
[32 8]
[33 8]
[34 7]
[35 6]
[36 6]
[37 6]
[38 5]
[39 5]
[40 5]
[41 5]
[42 5]
[43 5]
[44 4]
[45 4]
[46 4]
[47 5]
[48 5]
[49 6]
[50 6]
[51 7]
[52 7]
[53 7]
[54 7]
[55 7]
[56 7]
[57 7]
[58 7]
[59 7]
[60 7]
